gene	logFC	FDR	gExp_up_in_female	V7
ENSRNOT00000065224.1	-3.522	0.016	TRUE	Thbs4
ENSRNOT00000065288.1	-0.445	0.012	TRUE	Nrip3
ENSRNOT00000065584.3	0.476	0.003	FALSE	Hnrnpab
ENSRNOT00000065805.2	-2.51	0.024	TRUE	Prss56
ENSRNOT00000065890.1	-0.884	0.04	TRUE	Sesn1
ENSRNOT00000066305.4	6.15	0.014	FALSE	Pfkfb4
ENSRNOT00000066683.3	5.936	0.022	FALSE	Nol6
ENSRNOT00000066823.2	2.823	0	FALSE	Wdr74
ENSRNOT00000066917.1	-6.234	0.009	TRUE	Stag1
ENSRNOT00000067097.2	5.576	0.044	FALSE	Clec2l
ENSRNOT00000067562.2	-6.118	0.011	TRUE	Aspdh
ENSRNOT00000067616.2	-0.917	0.005	TRUE	Ece1
ENSRNOT00000068395.3	-6.15	0.011	TRUE	Kif2c
ENSRNOT00000071707.3	-0.51	0.033	TRUE	LOC100912455
ENSRNOT00000071846.2	6.914	0.002	FALSE	Anln
ENSRNOT00000072398.1	1.154	0	FALSE	AABR07015066.1
ENSRNOT00000072458.2	2.173	0.001	FALSE	LOC100909593
ENSRNOT00000072528.1	-7.318	0	TRUE	Wbp11
ENSRNOT00000072538.2	-7.136	0.001	TRUE	Ipo5
ENSRNOT00000072762.3	8.151	0	FALSE	LOC102547059
ENSRNOT00000072786.2	-7.036	0.001	TRUE	Arhgef16
ENSRNOT00000072868.1	0.486	0.027	FALSE	Safb
ENSRNOT00000073237.1	0.758	0.046	FALSE	Avil
ENSRNOT00000073353.1	6.504	0.006	FALSE	Mepce
ENSRNOT00000073435.2	7.292	0	FALSE	LOC100912455
ENSRNOT00000073743.2	-6.02	0.014	TRUE	Thpo
ENSRNOT00000073792.2	3.167	0.034	FALSE	AABR07029710.1
ENSRNOT00000074074.3	6.846	0.002	FALSE	Arhgef10l
ENSRNOT00000074261.2	6.343	0.009	FALSE	Tap2
ENSRNOT00000074325.1	1.138	0	FALSE	LOC100909555
ENSRNOT00000074326.1	1.298	0.023	FALSE	AABR07007744.1
ENSRNOT00000075020.1	5.584	0.044	FALSE	Knop1
ENSRNOT00000075494.1	5.959	0.021	FALSE	C3
ENSRNOT00000075842.1	6.457	0.007	FALSE	Nol6
ENSRNOT00000075940.1	-5.39	0	TRUE	LOC680227
ENSRNOT00000075998.2	5.821	0.028	FALSE	Suco
ENSRNOT00000076055.2	5.984	0.02	FALSE	Dnal1
