gene logFC FDR up_in_female V7
ENSRNOT00000034957.6 -3.16723535737436 7.49309675526219e-05 TRUE Tnnt1
ENSRNOT00000035001.6 -1.06071104208138 0.00623456545356401 TRUE n/a
ENSRNOT00000035100.5 -1.50495882712497 0.000276501945808949 TRUE Ndst2
ENSRNOT00000035217.4 5.78588507627265 0.0298824486972092 FALSE Zfp78
ENSRNOT00000036247.6 -7.09973243398407 1.37527401773576e-06 TRUE Dusp11
ENSRNOT00000036814.5 -1.03877864629321 0.000878648085973978 TRUE Usp32
ENSRNOT00000037199.5 -1.29995471681054 1.76229526685617e-08 TRUE Arpp21
ENSRNOT00000037226.5 -4.09193557596245 0.00105120311734959 TRUE Ms4a15
ENSRNOT00000037482.3 -3.2205507042011 0.0449834198633759 TRUE Ly6g6e
ENSRNOT00000037752.3 -1.51832227418134 3.38457479586167e-07 TRUE Ppp1r1b
ENSRNOT00000037974.6 2.85913556917372 9.31405174246522e-06 FALSE Map2
ENSRNOT00000038729.2 -7.13082685123722 0.000659060794235028 TRUE RGD1307100
ENSRNOT00000038826.3 -6.17108803685994 0.0101293736074415 TRUE Tbccd1
ENSRNOT00000038927.5 -0.341755475648194 0.0141613099437391 TRUE Rpl9
ENSRNOT00000041130.5 -2.7512079810254 8.40385705146737e-14 TRUE Itpr1
ENSRNOT00000042006.4 -1.67271642667321 0.0404062838098652 TRUE Stag3
ENSRNOT00000042072.6 -4.58894919025954 0.0193304510380632 TRUE Trdn
ENSRNOT00000042230.5 -7.37344482407727 0.00029323746791544 TRUE Slc8a1
ENSRNOT00000042331.4 -7.29366272928224 0.000386207963402559 TRUE Med13l
ENSRNOT00000042688.2 -1.25404126012952 1.57039346740406e-26 TRUE LOC100362027
ENSRNOT00000046010.3 -3.69912226118468 9.88234149987823e-06 TRUE LOC100360679
ENSRNOT00000046849.5 -6.13556978492005 0.0109619055864134 TRUE Ntrk3
ENSRNOT00000047053.6 -1.25175742908283 0.000495519922831405 TRUE Srebf1
ENSRNOT00000048318.5 5.60594417062906 0.0416588656578596 FALSE Man2c1
ENSRNOT00000048694.4 0.989174685293207 0.00873603734035176 FALSE AC105577.1
ENSRNOT00000048929.3 -5.58921547733935 0.0350264986378772 TRUE Tgif2-ps1
ENSRNOT00000048977.3 -0.418438702963739 0.000519695439138078 TRUE Hba2
ENSRNOT00000050722.1 1.15789900559424 6.22384964619353e-11 FALSE LOC500035
ENSRNOT00000050927.6 0.725953738144645 0.00829701335888509 FALSE Clcn2
ENSRNOT00000050931.3 2.29538163534265 0.0324407456574849 FALSE LOC687679
